Skill,Count
sql,0.8648648648648649
business intelligence,0.8648648648648649
reporting,0.7297297297297297
data visualization,0.35135135135135137
python,0.32432432432432434
data analytics,0.21621621621621623
communication skills,0.21621621621621623
etl,0.1891891891891892
data analysis,0.16216216216216217
problem solving,0.16216216216216217
